,Population 2023,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
IND,1,,India," 1,428,628 ",
CHN,2,,China," 1,410,710 ",
USA,3,,United States," 334,915 ",
IDN,4,,Indonesia," 277,534 ",
PAK,5,,Pakistan," 240,486 ",
NGA,6,,Nigeria," 223,805 ",
BRA,7,,Brazil," 216,422 ",
BGD,8,,Bangladesh," 172,954 ",
RUS,9,,Russian Federation," 143,826 ",
MEX,10,,Mexico," 128,456 ",
ETH,11,,Ethiopia," 126,527 ",
JPN,12,,Japan," 124,517 ",
PHL,13,,Philippines," 117,337 ",
EGY,14,,"Egypt, Arab Rep."," 112,717 ",
COD,15,,"Congo, Dem. Rep."," 102,263 ",
VNM,16,,Viet Nam," 98,859 ",
IRN,17,,"Iran, Islamic Rep."," 89,173 ",
TUR,18,,Türkiye," 85,326 ",
DEU,19,,Germany," 84,482 ",
THA,20,,Thailand," 71,801 ",
GBR,21,,United Kingdom," 68,350 ",
FRA,22,,France," 68,170 ",
TZA,23,,Tanzania," 67,438 ",
ZAF,24,,South Africa," 60,414 ",
ITA,25,,Italy," 58,761 ",
KEN,26,,Kenya," 55,101 ",
MMR,27,,Myanmar," 54,578 ",
COL,28,,Colombia," 52,085 ",
KOR,29,,"Korea, Rep."," 51,713 ",
UGA,30,,Uganda," 48,582 ",
ESP,31,,Spain," 48,373 ",
SDN,32,,Sudan," 48,109 ",
ARG,33,,Argentina," 46,655 ",
DZA,34,,Algeria," 45,606 ",
IRQ,35,,Iraq," 45,505 ",
AFG,36,,Afghanistan," 42,240 ",
CAN,37,,Canada," 40,098 ",
MAR,38,,Morocco," 37,840 ",
UKR,39,,Ukraine," 37,000 ",
SAU,40,,Saudi Arabia," 36,947 ",
POL,41,,Poland," 36,686 ",
AGO,42,,Angola," 36,684 ",
UZB,43,,Uzbekistan," 36,412 ",
YEM,44,,"Yemen, Rep."," 34,450 ",
PER,45,,Peru," 34,353 ",
MYS,46,,Malaysia," 34,309 ",
GHA,47,,Ghana," 34,122 ",
MOZ,48,,Mozambique," 33,897 ",
NPL,49,,Nepal," 30,897 ",
MDG,50,,Madagascar," 30,326 ",
CIV,51,,Côte d'Ivoire," 28,873 ",
VEN,52,,"Venezuela, RB"," 28,838 ",
CMR,53,,Cameroon," 28,647 ",
NER,54,,Niger," 27,203 ",
AUS,55,,Australia," 26,639 ",
PRK,56,,"Korea, Dem. People's Rep."," 26,161 ",
MLI,57,,Mali," 23,294 ",
BFA,58,,Burkina Faso," 23,251 ",
SYR,59,,Syrian Arab Republic," 23,227 ",
LKA,60,,Sri Lanka," 22,037 ",
MWI,61,,Malawi," 20,932 ",
ZMB,62,,Zambia," 20,570 ",
KAZ,63,,Kazakhstan," 19,900 ",
CHL,64,,Chile," 19,630 ",
ROU,65,,Romania," 19,056 ",
TCD,66,,Chad," 18,279 ",
ECU,67,,Ecuador," 18,190 ",
SOM,68,,Somalia," 18,143 ",
NLD,69,,Netherlands," 17,879 ",
SEN,70,,Senegal," 17,763 ",
GTM,71,,Guatemala," 17,602 ",
KHM,72,,Cambodia," 16,945 ",
ZWE,73,,Zimbabwe," 16,665 ",
